"Day","Sales","Trading Profit","Operating Expense","Net Profit"
11,3051941,1003560,959035,46355
12,3370070,1170612,1011607,162545
13,3878966,1475966,1064821,414685
14,4380789,1794401,1139364,657549
15,4755822,1971764,1222837,751439
16,5161829,2204582,1311618,895476
17,5555798,1583682,1456109,129058
18,7514728,3002979,1557982,1444997
19,7897947,3184913,1637109,1547804
20,8257129,3381745,1687796,1693949
21,8658732,3412114,1861625,1550489
22,9044646,3466462,1910447,1556015
23,9451967,3619979,1959777,1660202
24,11332625,5156958,2178869,2978089
25,12482125,5910266,2367963,3542303
26,13187334,6201782,2482540,3719242
27,13781531,6628743,2538376,4090367
28,14526318,7230969,2590274,4640695
29,14995865,6989874,2813052,4176822
30,15407713,7222257,2880830,4341427
31,16456213,8103323,2965502,5137821
32,17057023,8168668,3423685,4744983
33,20118341,10176661,3478937,6697724
34,22070121,10843796,3947054,6896742
35,25059158,13192339,4013767,9178572
36,25678450,13906377,4098865,9807512
37,26151436,14209157,4175458,10033699
38,26622632,14346974,4241779,10105195
39,27012740,14553374,4311903,10241471
40,27420819,14067040,4847817,9219223
41,28999872,15508733,4943223,10565510
42,29527122,15898832,5015472,10883360
43,29952936,15873409,5345816,10527593
44,32719955,16705325,6201395,10503930
45,36291832,19520424,6258041,13262383
46,36705027,19800659,6316715,13483944
47,37193209,20086401,6375804,13710597
48,37979440,20689012,6454889,14234123
49,38468262,20969577,6517681,14451896
50,38985082,21303011,6575654,14727357
51,39701789,20800874,7454342,13346532
52,45090679,25488758,7544443,17944315
53,47583538,27136355,7856965,19279390
54,50061256,28289146,8400102,19889044
55,51898236,29983396,8520210,21463186
56,52845149,30728178,8622836,22105342
57,53779412,31417316,8726685,22690631
58,54775521,31454085,9341614,22112471
59,56828809,33322768,9450302,23872466
60,57834400,34137202,9560813,24576389
61,58813620,34927403,9725782,25201621
62,59985318,35847709,9851371,25996338
63,60972596,36569330,9974437,26594893
64,62001494,37025886,10254948,26770938
65,66683977,40013202,11255075,28758127
66,69262971,42422860,11352150,31070710
67,70258741,43272953,11447536,31825417
68,71289511,43663654,11962655,31700999
69,72762086,44993903,12396023,32597880
70,75889826,47641953,12568750,35073203
71,79504301,50696726,12655828,38040898
72,83027921,53656792,12745762,40911030
73,83989877,53889158,13255655,40633503
74,85784380,54495443,14163049,40332394
75,88409006,56437453,14681876,41755577
76,90396543,58210185,14856330,43353855
77,91783994,58909186,15330899,43578287
78,93622359,60558279,15498607,45059672
79,94700232,61464140,15553790,45910350
80,95909117,61945293,15926921,46018372
81,97850259,63686960,15975399,47711561
82,99009233,63368039,16880263,46487776
83,101988885,65753770,17359829,48393941
84,105325937,68710065,17445761,51264304
85,108072063,71087581,17494600,53592981
86,109112686,71984283,17564230,54420053
87,110219467,72917089,17628448,55288641
88,111384516,73875878,17693275,56182603
89,112493705,74100513,18175065,55925448
90,114744144,75789841,18619633,57170208